net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	public	activity	size	credit.score	Cluster
18199448.0	15682922.0	1602863.0	2178558.0	178081.0	178081.0	-1626014.0	552544.0	-1545010.0	20163570.0	2592938.0	7462518.0	54688.0	6537344.0	13615795.0	9450150.0	4972065.0	10501192.0	6411476.0	2177498.0	-738282.0	-5699803.0	0.0	1.0	67.0	E	C2
5091481.0	3671857.0	907345.0	77565.0	79624.0	79624.0	101286.0	178851.0	75847.0	8816393.0	107637.0	4000000.0	634628.0	1614977.0	7201416.0	4422320.0	4422320.0	4000000.0	4422320.0	4399.0	106896.0	172572.0	0.0	1.0	78.0	E	C2
14420034.0	8293465.0	4415127.0	569350.0	80267.0	11241.0	78409.0	647759.0	53907.0	9697968.0	3549909.0	299312.0	152272.0	2794212.0	6736581.0	4497789.0	4497789.0	0.0	4797101.0	832930.0	391402.0	-554105.0	1.0	1.0	69.0	A	C3
61916000.0	32401000.0	21282000.0	10734000.0	2476000.0	2473000.0	-2474000.0	8260000.0	670000.0	162526992.0	93484000.0	46848000.0	411000.0	145828000.0	15930000.0	8448000.0	8448000.0	43594000.0	11702000.0	687000.0	10763000.0	10873000.0	0.0	2.0	73.0	E	C1
1373294.0	1155644.0	215343.0	96515.0	68834.0	68834.0	-49131.0	47384.0	-86715.0	3851031.0	451230.0	2114028.0	208.0	3710480.0	137083.0	1275061.0	1275061.0	714487.0	2674602.0	27166.0	-55617.0	1438222.0	0.0	0.0	70.0	E	C1
3134701.0	1104606.0	927287.0	251122.0	110927.0	110927.0	39467.0	290589.0	-67905.0	4058283.0	746791.0	2027324.0	179664.0	3771919.0	286127.0	1284168.0	1284168.0	1723324.0	1588168.0	30813.0	151972.0	330056.0	0.0	0.0	82.0	E	C1
3417800.0	2490256.0	987336.0	826791.0	184191.0	184191.0	-239157.0	587634.0	-168661.0	8570272.0	2774845.0	2528479.0	19319.0	2350764.0	6196461.0	3001999.0	3001999.0	889900.0	4640578.0	816357.0	234890.0	748602.0	0.0	1.0	77.0	E	C2
1697493.0	780021.0	516846.0	464319.0	70007.0	70007.0	79519.0	543838.0	8294.0	2141658.0	595039.0	1143455.0	830.0	1855858.0	264008.0	403164.0	403164.0	957559.0	589060.0	0.0	472613.0	449976.0	0.0	0.0	72.0	E	C1
2229701.0	1672514.0	475574.0	66972.0	89824.0	89824.0	29547.0	96519.0	-59903.0	3376628.0	588372.0	1857253.0	10801.0	1671163.0	1697406.0	931003.0	931003.0	934312.0	1853944.0	1044472.0	5381.0	-101635.0	0.0	0.0	70.0	E	C2
6086919.0	4912799.0	358768.0	515828.0	153299.0	153299.0	200939.0	716767.0	71844.0	9739328.0	1903544.0	4105160.0	20298.0	2601389.0	7137670.0	3427178.0	3427178.0	3301163.0	4231175.0	125038.0	427044.0	56670.0	0.0	2.0	71.0	E	C2
